NICsChecksID,Month,State,Permit,Permit_Recheck,Handgun,Long_Gun,Other,Multiple,Admin,PrePawn_Handgun,Pre_Pawn_Long_Gun,Prepawn_Other,Redemption_Handgun,Redemption_Long_Gun,Redemption_Other,Returned_Handgun,Returned_Long_Gun,Returned_Other,Rentals_Handgun,Rentals_Long_Gun,Private_Sale_Handgun,private_sale_long_gun,Private_Sale_Other,Return_To_Seller_Handgun,Return_To_Seller_Long_Gun,Return_To_Seller_Other,Totals,Latitude,longitude
14352,2000-09,West Virginia,0,,2941,8915,,202,0,,,,,,,,,,,,,,,,,,12058,38.416,-82.4205
14353,2000-09,Wisconsin,0,,3349,18870,,20,0,,,,,,,,,,,,,,,,,,22239,43.0694,-87.9049
14354,2000-09,Wyoming,213,,757,2829,,39,0,,,,,,,,,,,,,,,,,,3838,42.8973,-106.464
14355,2000-08,Alabama,1,,6497,9632,,274,0,,,,,,,,,,,,,,,,,,16404,32.4184,-86.2826
14356,2000-08,Alaska,0,,977,2790,,75,0,,,,,,,,,,,,,,,,,,3842,61.615,-149.619
14357,2000-08,Arizona,625,,4891,5814,,241,555,,,,,,,,,,,,,,,,,,12126,33.5093,-112.074
14358,2000-08,Arkansas,495,,3389,8628,,222,0,,,,,,,,,,,,,,,,,,12734,35.9273,-89.919
14359,2000-08,California,12923,,23875,26926,,0,0,,,,,,,,,,,,,,,,,,63724,34.1477,-119.195
14360,2000-08,Colorado,0,,9672,15215,,677,18,,,,,,,,,,,,,,,,,,25582,38.9184,-104.712
14361,2000-08,Connecticut,7379,,0,0,,0,0,,,,,,,,,,,,,,,,,,7379,41.2024,-73.1981
14362,2000-08,Delaware,0,,322,708,,12,0,,,,,,,,,,,,,,,,,,1042,39.7454,-75.5726
14363,2000-08,District of Columbia,0,,1,0,,0,0,,,,,,,,,,,,,,,,,,1,38.831,-77.002
14364,2000-08,Florida,0,,10226,8969,,380,1521,,,,,,,,,,,,,,,,,,21096,29.5533,-81.2302
14365,2000-08,Georgia,2937,,6128,9790,,213,7334,,,,,,,,,,,,,,,,,,26402,33.7689,-84.4215
14367,2000-08,Hawaii,651,,0,0,,0,0,,,,,,,,,,,,,,,,,,651,21.3186,-157.865
14368,2000-08,Idaho,0,,1584,3865,,111,533,,,,,,,,,,,,,,,,,,6093,42.5578,-114.471
14369,2000-08,Illinois,30077,,4340,7723,,167,0,,,,,,,,,,,,,,,,,,42307,41.6762,-87.6204
14370,2000-08,Indiana,7373,,1771,5006,,4,0,,,,,,,,,,,,,,,,,,14154,41.5779,-87.1563
14371,2000-08,Iowa,2749,,40,2850,,2,19,,,,,,,,,,,,,,,,,,5660,42.4876,-92.3412
14372,2000-08,Kansas,0,,1954,4701,,121,0,,,,,,,,,,,,,,,,,,6776,37.6779,-97.3495
14373,2000-08,Kentucky,0,,6486,11171,,392,0,,,,,,,,,,,,,,,,,,18049,38.0652,-84.5067
14374,2000-08,Louisiana,0,,4525,9029,,184,0,,,,,,,,,,,,,,,,,,13738,29.9668,-90.0188
14375,2000-08,Maine,0,,986,2613,,52,0,,,,,,,,,,,,,,,,,,3651,43.4564,-70.5447
14377,2000-08,Maryland,2900,,155,3376,,10,0,,,,,,,,,,,,,,,,,,6441,39.3342,-76.6844
14378,2000-08,Massachusetts,3928,,1151,831,,22,246,,,,,,,,,,,,,,,,,,6178,41.6942,-71.1366
14379,2000-08,Michigan,9145,,75,12962,,5,0,,,,,,,,,,,,,,,,,,22187,42.3819,-83.2819
14380,2000-08,Minnesota,2808,,2354,11873,,94,0,,,,,,,,,,,,,,,,,,17129,44.9918,-93.1702
14381,2000-08,Mississippi,0,,4325,8527,,186,0,,,,,,,,,,,,,,,,,,13038,33.6071,-88.659
14382,2000-08,Missouri,0,,2557,11254,,96,0,,,,,,,,,,,,,,,,,,13907,38.6167,-90.1936
